"""Customer Provided Item"" cannot be Purchase Item also","""Müştəri Tərəfindən Təmin Edilən Məhsul"" həm də Satınalma Məhsulu ola bilməz"
"""Customer Provided Item"" cannot have Valuation Rate","""Müştəri Tərəfindən Təmin Edilən Məhsul""un Maya Dəyəri ola bilməz"
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Əsas Vəsaitdir"" işarəsi ləğv edilə bilməz, chünki məhsul üzrə Aktiv qeydi mövcuddur"
"'Based On' and 'Group By' can not be same","'Əsasən' və 'Qruplaşdır' eyni ola bilməz"
"'Days Since Last Order' must be greater than or equal to zero","'Son Sifarişdən Sonrakı Günlər' sıfırdan böyük və ya ona bərabər olmalıdır"
"'Entries' cannot be empty","'Girişlər' boş ola bilməz"
"'From Date' is required","'Tarixdən' tələb olunur"
"'From Date' must be after 'To Date'","'Tarixdən' 'Tarixə'dən sonra olmalıdır"
"'Has Serial No' can not be 'Yes' for non-stock item","'Seriya Nömrəsi Var' qeyri-stok məhsulu üçün 'Bəli' ola bilməz"
"'Opening'","'Açılış'"
"'To Case No.' cannot be less than 'From Case No.'","'Bitiş İş №' 'Başlanğıc İş №'-dən kiçik ola bilməz"
"'To Date' is required","'Tarixə' tələb olunur"
"'Total'","'Cəmi'"
"'Update Stock' can not be checked because items are not delivered via {0}","'Stoku Yenilə' seçilə bilməz, çünki məhsullar {0} vasitəsilə çatdırılmayıb"
"'Update Stock' cannot be checked for fixed asset sale","'Stoku Yenilə' əsas vəsait satışı üçün seçilə bilməz"
"1 exact match.","1 tam uyğunluq."
"90-Above","90-dan yuxarı"
"A Customer Group exists with same name please change the Customer name or rename the Customer Group","Eyni adlı Müştəri Qrupu mövcuddur, lütfən Müştəri adını dəyişin və ya Müştəri Qrupunun adını dəyişdirin"
"A Default Service Level Agreement already exists.","Standart Xidmət Səviyyəsi Müqaviləsi artıq mövcuddur."
"A Lead requires either a person's name or an organization's name","Potensial müştəri üçün ya şəxs adı, ya da təşkilat adı tələb olunur"
"A customer with the same name already exists","Eyni adlı müştəri artıq mövcuddur"
"A question must have more than one options","Sualın birdən çox variantı olmalıdır"
"A qustion must have at least one correct options","Sualın ən azı bir düzgün variantı olmalıdır"
"A4","A4"
"API Endpoint","API Son Nöqtəsi"
"API Key","API Açarı"
"Abbr can not be blank or space","Abreviatura boş və ya boşluq ola bilməz"
"Abbreviation already used for another company","Bu Abreviatura artıq başqa bir şirkət üçün istifadə olunur"
"Abbreviation cannot have more than 5 characters","Abreviatura 5 simvoldan çox ola bilməz"
"Abbreviation is mandatory","Abreviatura məcburidir"
"About the Company","Şirkət haqqında"
"About your company","Şirkətiniz haqqında"
"Above","Yuxarıda"
"Academic Term","Akademik Semestr"
"Academic Term:","Akademik Semestr:"
"Academic Year","Akademik İl"
"Academic Year:","Akademik İl:"
"Accepted + Rejected Qty must be equal to Received quantity for Item {0}","{0} Material üçün Qəbul Edilən + Rədd Edilən miqdar Alınan miqdara bərabər olmalıdır"
"Access Token","Giriş Tokeni"
"Accessable Value","Əlçatan Dəyər"
"Account","Hesab"
"Account Number","Hesab nömrəsi"
"Account Number {0} already used in account {1}","{0} Hesab nömrəsi artıq {1} Hesabda istifadə olunur"
"Account Pay Only","Yalnız Ödəniş Hesabı"
"Account Type","Hesab Növü"
"Account Type for {0} must be {1}","{0} Hesab Növü {1} olmalıdır"
"""Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'""","""Bu Hesab Kreditdir, 'Balans Debit Olmalıdır' seçimi seçilə bilməz"""
"""Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'""","""Bu Hesab Debitdir, 'Balans Kredit Olmalıdır' seçimi seçilə bilməz"""
"Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.","{0} Hesabı üçün hesab nömrəsi mövcud deyil.<br> Lütfən, Hesablar Planınızı düzgün quraşdırın."
"Account with child nodes cannot be converted to ledger","Alt qovşaqları olan hesab dəftərə çevrilə bilməz"
"Account with child nodes cannot be set as ledger","Alt qovşaqları olan hesab dəftər kimi təyin edilə bilməz"
"Account with existing transaction can not be converted to group.","Mövcud əməliyyatı olan hesab qrupa çevrilə bilməz."
"Account with existing transaction can not be deleted","Mövcud əməliyyatı olan hesab silinə bilməz"
"Account with existing transaction cannot be converted to ledger","Mövcud əməliyyatı olan hesab dəftərə çevrilə bilməz"
"Account {0} does not belong to company: {1}","Hesab {0} şirkətə aid deyil: {1}"
"Account {0} does not belongs to company {1}","Hesab {0} şirkətə aid deyil {1}"
"Account {0} does not exist","Hesab {0} mövcud deyil"
"Account {0} does not exists","Hesab {0} mövcud deyil"
"Account {0} does not match with Company {1} in Mode of Account: {2}","{0} hesabı {1} şirkəti ilə {2} Hesab rejimində uyğun gəlmir"
"Account {0} has been entered multiple times","{0} hesabı bir neçə dəfə daxil edilib"
"Account {0} is added in the child company {1}","{0} hesabı {1} törəmə şirkətinə əlavə edildi"
"Account {0} is frozen","Hesab {0} dondurulub"
"Account {0} is invalid. Account Currency must be {1}","{0} hesabı etibarsızdır. Hesab Valyutası {1} olmalıdır"
"Account {0}: Parent account {1} can not be a ledger","Hesab {0}: Ana hesab {1} dəftər ola bilməz"
"Account {0}: Parent account {1} does not belong to company: {2}","Hesab {0}: Ana hesab {1} şirkətə aid deyil: {2}"
"Account {0}: Parent account {1} does not exist","Hesab {0}: Ana hesab {1} mövcud deyil"
"Account {0}: You can not assign itself as parent account","Hesab {0}: Özünü ana hesab kimi təyin edə bilməzsiniz"
"Account: {0} can only be updated via Stock Transactions","Hesab: {0} yalnız Stok Əməliyyatları vasitəsilə yenilənə bilər"
"Account: {0} with currency: {1} can not be selected","Hesab: {1} valyutalı {0} seçilə bilməz"
"Accountant","Mühasib"
"Accounting","Mühasibat"
"Accounting Entry for Asset","Aktiv üçün Mühasibat Qeydi"
"Accounting Entry for Stock","Stok üçün Mühasibat Qeydi"
"Accounting Entry for {0}: {1} can only be made in currency: {2}","{0} üçün Mühasibat Qeydi: {1} yalnız bu valyutada edilə bilər: {2}"
"Accounting Ledger","Hesablar Reyestri"
"Accounting journal entries.","Mühasibat jurnalı qeydləri."
"Accounts","Hesablar"
"Accounts Manager","Hesablar Meneceri"
"Accounts Payable","Kredit borcları"
"Accounts Payable Summary","Kredit borclarının xülasəsi"
"Accounts Receivable","Debitor borcları"
"Accounts Receivable Summary","Debitor borclarının xülasəsi"
"Accounts User","Hesablar İstifadəçisi"
"Accounts table cannot be blank.","Hesablar cədvəli boş ola bilməz."
"Accumulated Depreciation","Yığılmış Amortizasiya"
